Car Names,Mileages,Ratings,Prices
2018 Toyota 4Runner Limited,"38,882 mi.",4.8,"$44,991"
2020 Honda CR-V EX-L,"23,015 mi.",4.8,"$35,797"
2019 Mercedes-Benz AMG E 63 S 4MATIC,"10,976 mi.",4.7,"$106,999"
2020 Nissan Maxima 3.5 SR,"15,113 mi.",4.6,"$35,952"
2021 Honda Pilot Special Edition,"22,853 mi.",4.6,"$41,555"
2021 Acura RDX w/Technology Package,"11,518 mi.",4.5,"$42,995"
2019 Mercedes-Benz AMG G 63 Base,"10,698 mi.",4.7,"$195,999"
2019 Honda Civic LX,"22,940 mi.",4.8,"$27,200"
2021 Mercedes-Benz GLB 250 Base,"21,456 mi.",3.7,"$40,990"
2019 Toyota Camry SE,"23,314 mi.",4.7,"$30,880"
2019 Acura MDX 3.5L,"28,927 mi.",4.5,"$36,990"
2021 Jeep Grand Cherokee Trailhawk,"29,300 mi.",4.8,"$48,500"
2018 Honda Accord LX,"18,183 mi.",4.7,"$23,996"
2019 Honda CR-V EX-L,"26,111 mi.",4.6,"$31,495"
2019 Mercedes-Benz AMG C 43 Base 4MATIC,"20,580 mi.",4.6,"$53,785"
2019 Honda Civic LX,"36,089 mi.",4.6,"$26,691"
2018 Dodge Challenger SXT,"40,520 mi.",3.6,"$35,999"
2021 Jeep Grand Cherokee Limited,"7,105 mi.",4.5,"$43,991"
2019 Ford Escape SEL,"34,030 mi.",4.8,"$28,500"
2019 BMW 330 i,"23,840 mi.",4.5,"$42,995"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mileage,4.8,"$69,900"
2021 BMW X3 xDrive30i,"34,096 mi.",4.8,"$43,990"
2019 Honda Odyssey EX-L,"43,889 mi.",4.6,"$38,721"
2021 Jeep Gladiator Mojave,"25,763 mi.",4.5,"$55,412"
2019 Volvo S60 T5 Momentum,"11,125 mi.",4.7,"$34,968"
2018 Toyota RAV4 LE,"21,449 mi.",4.6,"$26,591"
2020 Chrysler Pacifica Touring-L,"43,415 mi.",4.7,"$27,492"
2020 BMW X3 xDrive30i,"61,825 mi.",4.7,"$44,495"
2021 Jeep Grand Cherokee Trailhawk,"14,117 mi.",4.8,"$48,500"
2019 Volvo XC90 T6 Momentum,"20,293 mi.",4.7,"$42,895"
2019 INFINITI QX50 ESSENTIAL,"49,534 mi.",4.7,"$35,498"
2018 Ferrari GTC4Lusso V12,"55,061 mi.",4.3,"$244,900"
2018 Toyota RAV4 XLE,"20,096 mi.",4.8,"$29,635"
2022 Acura MDX Advance,"24,164 mi.",4.5,"$64,000"
2019 INFINITI QX50 ESSENTIAL,"12,082 mi.",4.7,"$35,699"
2020 Acura TLX FWD,"19,527 mi.",4.7,"$31,198"
2019 Honda Ridgeline RTL-T,"24,810 mi.",4.7,"$34,933"
2019 Mercedes-Benz CLA 250 Base 4MATIC,"25,649 mi.",4.7,"$34,600"
2019 Cadillac XT5 Luxury,"19,912 mi.",4.9,"$36,992"
2021 Mercedes-Benz GLB 250 Base 4MATIC,"37,244 mi.",4.7,"$44,495"
2019 BMW 540 i xDrive,Mileage,4.8,"$48,995"
2020 Acura TLX FWD,"25,372 mi.",4.7,"$28,476"
2020 Nissan Maxima 3.5 SR,"24,063 mi.",4.7,"$38,699"
2019 Volvo XC90 T6 Momentum,"17,237 mi.",4.7,"$44,895"
2019 Volvo XC60 T5 Momentum,"32,317 mi.",4.7,"$43,968"
2019 BMW X3 sDrive30i,"32,356 mi.",4.5,"$38,995"
2020 Nissan Rogue SL,"17,158 mi.",4.4,"$32,988"
2020 Acura MDX 3.5L,"18,335 mi.",4.8,"$39,425"
2021 Mercedes-Benz GLB 250 Base 4MATIC,"23,967 mi.",4.8,"$43,977"
2019 Volvo XC60 T5 Momentum,"13,151 mi.",4.7,"$36,314"
2021 Toyota 4Runner Limited,"36,651 mi.",4.8,"$50,792"
2019 Honda CR-V EX-L,"19,871 mi.",4.8,"$32,481"
2020 Acura TLX V6,"15,801 mi.",4.6,"$32,999"
2020 Chevrolet Trax LS,"26,574 mi.",4.5,"$18,947"
2020 Acura TLX V6 w/Technology Package,"11,725 mi.",4.7,"$39,500"
2020 Mercedes-Benz GLE 350 Base,"18,980 mi.",4.9,"$61,439"
2020 Honda CR-V EX-L,"18,609 mi.",4.5,"$33,870"
2020 BMW M340 i xDrive,"21,208 mi.",4.8,"$51,545"
2019 Honda CR-V EX-L,"10,193 mi.",4.9,"$34,499"
2018 Toyota RAV4 LE,"36,188 mi.",4.7,"$28,895"
2020 BMW X3 sDrive30i,Mileage,4.5,"$42,962"
2018 Honda Accord LX,"30,471 mi.",4.4,"$22,995"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"55,597 mi.",4.7,"$37,496"
2019 Volvo XC60 T5 Momentum,"14,880 mi.",4.8,"$36,068"
2020 Cadillac XT5 Sport,"35,570 mi.",4.2,"$52,993"
2020 Nissan Maxima 3.5 SR,"18,118 mi.",4.6,"$36,952"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"16,668 mi.",4.9,"$62,283"
2021 BMW X3 xDrive30i,"16,497 mi.",4.7,"$46,698"
2022 Jeep Grand Cherokee Limited,"18,122 mi.",4.9,"$51,999"
2020 Cadillac XT5 Sport,"10,906 mi.",4.9,"$49,999"
2020 BMW 750 i xDrive,"16,975 mi.",4.1,"$76,900"
2018 Volvo V90 Cross Country T5,"19,725 mi.",4.7,"$50,962"
2017 Mercedes-Benz AMG G 63 Base,"37,837 mi.",4.8,"$124,999"
2022 Mercedes-Benz GLC 300 Base 4MATIC,"30,230 mi.",4.6,"$46,999"
2020 Acura TLX FWD,"6,865 mi.",4.7,"$32,906"
2018 Chevrolet Silverado 1500 LTZ,"16,076 mi.",4.5,"$45,990"
2019 Cadillac XT5 Luxury,"30,877 mi.",4.9,"$36,984"
2021 Mercedes-Benz GLC 300 Base,"24,059 mi.",4.5,"$48,985"
2020 BMW X5 xDrive40i,"13,233 mi.",4.5,"$57,999"
2019 BMW 740 i,"17,483 mi.",4.6,"$54,991"
2019 Volvo XC60 T5 Momentum,Mileage,4.9,"$38,500"
2022 Mercedes-Benz GLB 250 Base 4MATIC,"39,335 mi.",4.7,"$44,980"
2021 Aston Martin DBX Base,"11,565 mi.",3.5,"$159,888"
2021 Acura RDX A-Spec,"3,098 mi.",3.7,"$44,983"
2020 Mercedes-Benz GLC 300 Base,"15,490 mi.",4.9,"$48,367"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"16,430 mi.",4.7,"$74,989"
2019 Honda CR-V EX-L,"8,362 mi.",4.7,"$33,998"
2021 Mercedes-Benz AMG GLE 53 Base,"15,399 mi.",4.8,"$109,714"
2018 Cadillac XT5 Luxury,"11,838 mi.",4.1,"$31,911"
2019 Honda CR-V EX,"31,367 mi.",4.7,"$31,747"
2019 GMC Sierra 1500 Denali,"10,810 mi.",4.6,"$57,000"
2019 Cadillac Escalade ESV Premium Luxury,"17,719 mi.",4.5,"$69,995"
2019 BMW X5 xDrive40i,"38,882 mi.",4.5,"$51,999"
